INF [20100405-20:04:55.175] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_4,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.177] w3c: 1 - - - - - - - RowzShards:add_child_shard 15,13,1
INF [20100405-20:04:55.179] w3c: 1 - - - - - - - RowzShards:add_child_shard 15,14,1
INF [20100405-20:04:55.183] w3c: 3 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:7378697629483820644,_shard_id:15)
INF [20100405-20:04:55.187] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a5,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.192] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b5,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.196] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_5,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.200] w3c: 1 - - - - - - - RowzShards:add_child_shard 18,16,1
INF [20100405-20:04:55.203] w3c: 1 - - - - - - - RowzShards:add_child_shard 18,17,1
INF [20100405-20:04:55.208] w3c: 4 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:9223372036854775805,_shard_id:18)
INF [20100405-20:04:55.212] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a6,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.217] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b6,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.220] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_6,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.225] w3c: 4 - - - - - - - RowzShards:add_child_shard 21,19,1
INF [20100405-20:04:55.227] w3c: 1 - - - - - - - RowzShards:add_child_shard 21,20,1
INF [20100405-20:04:55.229] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-7378697629483820650,_shard_id:21)
INF [20100405-20:04:55.234] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a7,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.242] w3c: 6 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b7,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.245] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_7,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.250] w3c: 4 - - - - - - - RowzShards:add_child_shard 24,22,1
INF [20100405-20:04:55.252] w3c: 1 - - - - - - - RowzShards:add_child_shard 24,23,1
INF [20100405-20:04:55.254] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-5534023222112865489,_shard_id:24)
INF [20100405-20:04:55.259] w3c: 3 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a8,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.262] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b8,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.267] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_8,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.269] w3c: 1 - - - - - - - RowzShards:add_child_shard 27,25,1
INF [20100405-20:04:55.270] w3c: 1 - - - - - - - RowzShards:add_child_shard 27,26,1
INF [20100405-20:04:55.275] w3c: 4 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-3689348814741910328,_shard_id:27)
